SimTime,tb_top.ch_out,tb_top.adc_out[5:0]
0.646,0.10649016551248153,27
0.647,0.095811646042492621,27
0.648,0.085203731668930721,27
0.649,0.074695211076895612,27
0.65,0.064311702717171959,36
0.651,0.054075665145970217,36
0.652,0.044006451143817488,36
0.653,0.034120400174824948,36
0.654,0.024430963680176644,36
0.655,0.01494885773861207,36
0.656,0.005682237758651898,36
0.657,-0.0033631099209830845,36
0.658,-0.01218356436806043,36
0.659,-0.020777458843917768,36
0.66,-0.029144866180679824,36
0.661,-0.037287384484796293,36
0.662,-0.045207926480210797,36
0.663,-0.052910515372048481,36
0.664,-0.060400089678524713,36
0.665,-0.067682319052596321,36
0.666,-0.074763432702421223,36
0.667,-0.081650061626651171,36
0.668,-0.088349095511630241,36
0.669,-0.094867554796403505,36
0.67,-0.10121247810082826,36
0.671,-0.10739082493392535,36
0.672,-0.11340939335501717,36
0.673,-0.11927475204955301,36
0.674,-0.12499318610455881,36
0.675,-0.13057065562454001,36
0.676,-0.13601276621610359,36
0.677,-0.14132475028683439,36
0.678,-0.14651145804902693,36
0.679,-0.1515773570894427,36
0.68,-0.15652653935987176,36
0.681,-0.16136273445733734,36
0.682,-0.16608932809464994,36
0.683,-0.17070938470905297,36
0.684,-0.17522567321630053,36
0.685,-0.1796406949871529,36
0.686,-0.18395671320057208,36
0.687,-0.1881757828105956,36
0.688,-0.19229978044988236,36
0.689,-0.19633043368036546,36
0.69,-0.20026934908861788,36
0.691,-0.20411803880894519,36
0.692,-0.2078779451395803,36
0.693,-0.21155046299558952,36
0.694,-0.21513696001532429,36
0.695,-0.21863879420478455,36
0.696,-0.22205732906558531,36
0.697,-0.22539394620700437,36
0.698,-0.22865005549065176,36
0.699,-0.23182710279759425,36
0.7,-0.234926575542377,36
0.701,-0.2379500060864933,36
0.702,-0.24279394292574871,36
0.703,-0.24662482853415846,36
0.704,-0.24973513707277198,36
0.705,-0.25236276710541383,36
0.706,-0.25469531126750317,36
0.707,-0.25687461759146279,36
0.708,-0.25900153063372028,36
0.709,-0.26114071052447463,36
0.71,-0.26332543865628644,36
0.711,-0.26556232968141619,36
0.712,-0.26783588056524354,36
0.713,-0.27011279843417552,36
0.714,-0.27234605967760978,36
0.715,-0.27447866305756546,36
0.716,-0.27644704931541669,36
0.717,-0.27818416883696512,36
0.718,-0.27962218726324933,36
0.719,-0.28069482645618832,36
0.72,-0.28133934490768947,36
0.721,-0.28149816749983281,36
0.722,-0.28112017948112139,36
0.723,-0.28016170363385628,36
0.724,-0.27858718289799034,36
0.725,-0.27636959322610327,36
0.726,-0.27349061322038437,36
0.727,-0.26994057820095141,36
0.728,-0.26571824683614415,36
0.729,-0.26083040839403221,36
0.73,-0.25529135811680737,36
0.731,-0.24912226724329004,36
